date,electricity_kwh,diesel_liter,natural_gas_m3,cement_ton,steel_ton,plastic_kg,production_units,operating_hours,capacity_utilization,co2_emission
2031-09-25,17623,135,610,6.38,6.11,142.99,3279,8,45.5,33026.99
2031-09-26,9955,270,651,10.08,7.26,389.81,2598,9,43.8,33138.05
2031-09-27,15847,168,704,11.03,12.85,557.38,5588,22,93.5,49169.06
2031-09-28,13826,259,717,8.71,11.59,506.05,2813,13,50.1,43263.1
2031-09-29,12037,164,631,11.54,9.44,239.76,5907,11,68.9,39422.34
2031-09-30,10539,115,590,19.29,10.25,402.89,4832,18,99.8,46842.85
2031-10-01,18891,234,711,17.57,14.83,190.66,2741,17,44.8,60360.82
2031-10-02,16469,183,347,7.46,4.04,469.11,5620,15,77.4,29733.89
2031-10-03,11709,164,441,17.87,10.25,184.32,5376,10,95.7,45816.52
2031-10-04,9817,94,587,11.63,13.68,333.77,4910,22,59.6,45308.06
2031-10-05,12223,206,336,15.92,14.38,312.31,4468,19,81.0,52130.95
2031-10-06,12236,197,250,17.7,3.69,103.2,5736,10,98.7,33802.99
2031-10-07,16557,189,457,7.77,7.16,431.64,3301,16,84.3,35839.06
2031-10-08,14085,284,335,8.46,7.97,116.43,2909,10,59.2,35095.66
2031-10-09,16631,112,233,5.4,14.37,441.93,5281,21,91.8,46174.7
2031-10-10,12510,132,389,12.49,3.32,174.96,5514,18,79.9,28956.06
2031-10-11,13269,201,749,15.86,7.63,136.69,2897,19,74.8,41117.02
2031-10-12,15634,65,349,5.68,5.42,476.02,4753,13,57.4,29693.48
2031-10-13,15328,256,505,9.51,6.13,545.4,3482,11,79.1,35073.42
2031-10-14,17926,181,787,13.59,8.11,472.04,3276,17,53.8,44610.92
2031-10-15,12808,246,763,16.65,5.34,454.9,5599,9,59.1,38250.49
2031-10-16,11995,131,277,11.4,6.52,419.83,3216,19,75.7,33714.44
2031-10-17,13834,115,581,12.04,11.29,499.64,2411,17,49.9,45123.62
2031-10-18,10147,78,660,11.19,11.36,353.61,5188,14,87.8,41157.4
2031-10-19,8846,128,623,8.01,3.19,244.86,2009,22,73.9,22293.89
2031-10-20,14667,91,795,11.14,10.58,388.47,4222,17,75.8,43792.37
2031-10-21,13688,242,212,5.33,12.39,417.95,3011,17,76.2,40326.34
2031-10-22,11027,115,737,18.24,12.94,426.03,5025,14,96.0,51481.58
2031-10-23,11684,185,722,15.97,14.74,158.35,5571,22,43.7,52688.14
2031-10-24,11110,73,242,12.48,7.91,553.86,5543,13,93.5,36605.36
2031-10-25,15843,150,774,15.43,3.85,242.34,5131,16,58.6,36227.11
2031-10-26,8990,122,593,10.0,8.85,552.73,3461,15,98.6,35101.63
2031-10-27,8964,136,558,9.83,12.66,186.92,3141,9,81.3,40816.31
2031-10-28,16051,255,695,14.52,5.6,158.03,3490,9,78.4,38613.41
2031-10-29,12367,185,746,8.5,10.6,229.94,5978,19,67.5,39283.38
2031-10-30,8852,268,793,15.69,13.94,542.53,5646,10,78.6,49954.26
2031-10-31,16428,82,412,9.08,8.45,503.57,5498,20,90.8,39089.71
2031-11-01,18518,263,484,5.68,4.8,292.18,4918,22,92.2,31186.53
2031-11-02,18677,121,626,13.17,8.24,307.75,2531,19,62.0,44230.3
2031-11-03,15199,139,624,12.97,4.73,512.52,4404,14,71.8,35432.97
2031-11-04,15039,96,654,17.09,9.4,152.73,2800,18,97.2,46484.72
2031-11-05,10618,196,695,12.95,13.82,418.07,4423,10,84.9,48049.58
2031-11-06,12878,132,282,7.88,5.65,123.67,3126,10,60.7,28970.99
2031-11-07,8683,296,391,7.73,9.99,407.51,3396,19,40.1,34508.5
2031-11-08,11266,51,781,18.47,7.79,426.53,2464,13,89.4,42550.39
2031-11-09,18056,253,700,9.91,12.93,484.49,4194,17,40.9,50118.37
2031-11-10,18250,69,767,17.55,6.54,242.6,2825,17,96.3,44758.3
2031-11-11,10583,243,295,7.34,6.51,365.3,4430,13,40.2,29035.49
2031-11-12,10936,138,739,10.72,12.89,266.66,4419,15,76.9,44210.4
2031-11-13,15804,215,236,10.72,10.26,450.31,5077,16,95.2,43138.26
2031-11-14,9654,159,585,13.8,6.96,366.15,4372,21,53.8,35255.46
2031-11-15,8518,177,276,19.96,12.44,236.83,5892,18,60.2,48870.85
2031-11-16,14775,84,469,9.17,7.85,503.2,5712,20,84.3,36840.26
2031-11-17,10778,266,469,17.92,13.05,440.66,2906,15,62.0,51058.37
2031-11-18,11958,138,748,18.7,8.24,251.61,3517,22,41.4,43839.65
2031-11-19,15092,143,527,18.46,10.45,340.72,3854,17,66.8,49991.93
2031-11-20,18384,61,345,8.79,6.35,574.57,2626,22,40.2,36641.04
2031-11-21,8629,162,294,9.16,7.41,408.22,2904,11,70.2,30623.41
2031-11-22,18809,279,307,8.66,6.43,161.21,2264,21,75.7,36420.3
2031-11-23,8676,80,614,18.3,11.81,433.94,2607,18,40.1,47275.48
2031-11-24,13332,238,546,10.82,9.77,202.37,3847,17,95.4,40344.15
2031-11-25,15784,296,390,13.53,7.62,156.39,3873,10,71.8,40652.5
2031-11-26,17279,293,252,9.06,10.22,564.98,4281,16,67.6,43290.37
2031-11-27,8483,55,336,19.85,4.61,480.27,5277,17,70.7,35075.87
2031-11-28,9059,279,426,10.17,11.08,236.08,4233,12,60.3,38569.0
2031-11-29,8351,206,350,15.26,3.74,334.88,3157,9,96.9,29292.05
2031-11-30,11866,149,439,10.42,10.47,215.41,4797,14,74.5,39672.46
2031-12-01,18096,284,202,10.14,3.27,236.13,3235,15,42.2,31486.77
2031-12-02,13647,209,263,6.3,5.69,484.58,2907,20,85.6,29289.97
2031-12-03,18233,66,687,7.96,9.7,156.55,5560,23,79.6,41428.3
2031-12-04,19733,170,693,14.12,9.02,412.01,3098,15,87.6,47855.11
2031-12-05,11133,287,702,11.36,8.2,322.4,4641,20,51.6,36908.59
2031-12-06,17995,153,543,12.72,3.5,134.71,5083,22,94.8,34237.07
2031-12-07,9844,62,655,17.68,10.31,404.75,5641,11,90.0,44944.12
2031-12-08,13441,164,747,12.58,6.88,202.48,5129,18,88.0,37034.76
2031-12-09,12503,178,712,6.37,4.77,354.41,5343,8,91.6,27212.32
2031-12-10,15906,256,442,14.38,10.47,173.56,4555,12,63.2,46698.68
2031-12-11,15791,279,777,11.95,13.58,551.73,3471,15,84.0,51642.28
2031-12-12,19312,289,545,12.24,4.63,292.12,3605,8,52.0,37615.57
2031-12-13,13117,53,521,14.98,9.97,521.56,3446,17,87.5,44599.63
2031-12-14,19975,118,350,6.32,13.3,341.85,4883,13,59.1,47789.05
2031-12-15,18607,285,515,16.7,13.58,563.56,3909,19,89.8,57772.66
2031-12-16,10605,284,784,19.41,7.86,112.65,4568,13,57.4,42742.15
2031-12-17,16009,122,723,6.57,3.49,586.79,4351,23,63.2,28443.45
2031-12-18,11097,286,509,8.82,3.35,360.64,5084,23,58.4,25593.36
2031-12-19,15805,129,583,17.87,4.94,446.21,3138,18,76.7,40460.95
2031-12-20,10303,188,246,12.92,13.08,174.68,4078,15,94.8,44964.48
2031-12-21,12551,79,235,12.44,5.95,391.0,4225,11,52.4,33809.99
2031-12-22,11745,70,274,6.06,7.0,108.9,3060,18,57.3,28644.6
2031-12-23,14034,167,200,5.34,10.08,488.18,2682,18,42.1,36442.65
2031-12-24,12714,192,719,15.26,7.87,430.8,5083,9,54.9,41210.62
2031-12-25,10964,56,699,11.06,11.2,150.7,4280,14,48.4,40942.47
2031-12-26,11897,144,255,16.91,10.32,387.48,5770,19,60.4,45344.82
2031-12-27,9466,273,539,13.42,3.67,403.44,2322,19,71.2,29118.38
2031-12-28,17660,144,752,16.74,11.07,348.72,2115,15,89.4,52116.16
2031-12-29,8860,84,633,11.03,9.14,481.2,2474,17,85.8,36245.17
2031-12-30,9760,60,526,17.91,8.89,440.78,5844,23,50.7,42359.34
2031-12-31,17816,278,214,19.49,14.65,525.6,3488,12,97.8,60875.38
2032-01-01,17352,115,562,7.94,4.83,226.15,5317,23,49.5,31958.5
2032-01-02,10788,86,281,19.04,13.11,554.41,4624,16,57.6,51699.72
2032-01-03,8356,235,742,12.08,8.98,542.05,4904,19,81.6,37199.25
2032-01-04,14937,286,532,6.2,7.55,557.25,3483,16,82.8,34483.17
2032-01-05,9444,246,602,17.67,10.21,167.18,5259,19,58.2,44146.78
2032-01-06,16283,126,443,17.46,3.7,539.48,3685,16,64.9,38202.85
2032-01-07,10962,87,294,5.95,6.58,105.09,4290,21,77.2,27219.0
2032-01-08,11757,238,420,16.5,12.43,329.86,2036,21,50.3,49042.29
2032-01-09,15537,226,720,7.52,11.81,369.05,5097,13,58.6,43583.89
2032-01-10,15522,167,268,19.63,10.07,361.34,2756,11,44.4,50323.44
2032-01-11,11183,172,661,13.91,6.45,523.98,2003,8,62.0,36254.27
2032-01-12,8026,91,782,8.65,9.88,335.43,4315,17,97.4,34674.27
2032-01-13,10411,108,316,17.71,10.58,182.78,5811,15,84.0,44838.68
2032-01-14,16371,151,451,15.38,7.54,240.43,2677,21,98.8,42645.78
2032-01-15,17794,104,295,10.26,12.51,142.35,4901,21,48.1,47491.88
2032-01-16,11532,161,414,11.73,9.37,550.26,4173,20,55.3,39416.43
2032-01-17,9973,248,396,19.3,6.74,254.71,5410,20,70.9,39645.1
2032-01-18,9123,283,743,17.63,7.1,578.82,4342,12,42.3,39645.18
2032-01-19,14299,199,753,12.53,14.41,352.51,3475,18,66.9,51720.65
2032-01-20,16915,161,539,10.72,9.27,245.75,3329,21,40.9,42214.34
2032-01-21,16356,295,287,14.82,13.54,550.63,2664,22,81.1,53712.82
2032-01-22,10710,59,272,12.06,13.74,379.97,3088,8,50.9,45980.82
2032-01-23,18814,50,635,9.19,6.54,532.94,3625,11,66.8,38117.46
2032-01-24,11246,52,329,8.53,14.18,510.78,4026,19,48.2,44440.22
2032-01-25,14511,203,789,11.06,14.81,191.17,2432,8,40.5,50957.18
2032-01-26,12604,154,619,18.41,3.69,184.54,4093,12,81.3,35542.71
2032-01-27,15484,170,698,12.58,12.28,151.79,5534,12,55.9,48225.8
2032-01-28,19652,234,311,9.73,11.65,491.18,2209,10,62.1,48201.37
2032-01-29,10807,208,542,18.36,3.04,241.06,4444,15,50.7,32963.7
2032-01-30,16483,98,281,12.17,12.78,325.44,2579,21,40.2,49038.93
2032-01-31,11283,57,637,18.0,11.95,142.24,4423,12,80.5,48663.54
2032-02-01,13375,123,419,5.81,13.39,355.68,3806,17,58.2,42258.57
2032-02-02,16751,166,528,17.68,4.4,118.06,3895,18,60.5,39251.27
2032-02-03,17198,98,229,10.16,12.13,392.13,2433,19,92.6,46714.21
2032-02-04,13368,133,333,14.38,13.85,553.63,4472,22,48.7,51156.08
2032-02-05,12607,178,587,8.9,10.33,120.42,3329,20,99.9,38767.44
2032-02-06,14611,233,526,11.99,13.59,444.3,5185,19,66.8,49877.53
2032-02-07,18785,63,395,6.34,13.57,548.34,4789,16,70.7,47801.23
2032-02-08,8718,214,505,6.04,10.15,106.81,4596,17,61.9,32577.2
2032-02-09,16370,209,628,8.75,6.77,414.2,5125,22,70.1,36206.25
2032-02-10,13491,296,769,19.44,3.18,545.32,4546,21,51.4,37782.73
2032-02-11,9565,143,515,18.77,5.95,222.07,3835,19,46.4,37304.12
2032-02-12,14234,158,727,17.46,4.77,373.83,5343,14,91.6,38649.84
2032-02-13,15373,138,654,14.99,5.17,328.94,4276,14,46.3,37785.92
2032-02-14,16425,248,696,14.22,11.28,459.86,2458,11,53.4,49608.13
2032-02-15,12101,133,693,8.55,6.87,560.96,4721,11,64.3,33008.65
2032-02-16,8142,293,416,13.76,10.61,458.64,5125,23,46.3,40767.58
2032-02-17,15050,173,350,19.75,14.52,382.19,5190,12,86.2,58262.74
2032-02-18,9797,136,713,19.9,5.2,207.25,4032,18,98.5,37482.5
2032-02-19,19891,93,418,12.8,14.65,447.81,3400,20,59.0,56325.43
2032-02-20,8971,152,348,7.25,14.35,353.74,3445,21,60.2,41607.97
2032-02-21,13417,184,254,16.68,4.84,147.42,5410,16,41.9,36013.14
2032-02-22,13673,145,309,11.29,4.7,461.62,3948,17,82.7,31906.43
2032-02-23,13220,218,772,9.72,6.78,104.34,3741,13,59.8,34028.2
2032-02-24,9715,153,325,15.04,8.91,448.9,2800,13,85.8,39639.3
2032-02-25,11052,289,684,7.26,12.88,256.83,4404,22,65.7,41399.14
2032-02-26,9750,201,299,8.18,13.82,135.22,3042,12,49.8,41599.76
2032-02-27,12391,62,300,18.59,6.07,481.79,5855,21,49.6,39728.18
2032-02-28,17787,247,728,9.57,12.36,562.97,4812,13,98.4,48805.09
2032-02-29,8101,98,476,8.34,13.15,509.12,3818,13,75.3,40232.16
2032-03-01,15530,218,663,9.01,11.17,590.95,4694,10,86.6,44195.05
2032-03-02,12315,179,716,19.88,8.77,419.4,5368,17,40.1,46596.93
2032-03-03,8679,132,497,7.18,13.3,535.42,2693,13,72.3,40099.69
2032-03-04,10341,161,750,12.0,9.91,375.48,2811,18,73.1,39848.87
2032-03-05,18906,222,734,8.94,4.02,587.66,3475,11,40.7,34157.2
2032-03-06,19416,174,507,19.51,6.33,455.14,3604,12,40.7,47377.71
2032-03-07,13047,89,295,8.65,3.23,222.71,3836,8,43.7,25628.9
2032-03-08,15273,150,558,9.58,14.1,264.82,2034,20,99.6,48591.82
2032-03-09,11014,189,406,15.0,11.05,197.24,2804,21,68.2,44127.18
2032-03-10,15010,258,766,16.74,3.69,339.11,2579,9,81.2,36913.76
2032-03-11,9997,121,282,5.99,4.62,431.82,3211,16,49.7,23802.07
2032-03-12,19396,64,272,8.2,3.16,599.47,5843,12,50.9,31139.15
2032-03-13,18906,198,259,7.06,3.45,499.24,2784,22,58.6,30263.57
2032-03-14,10685,132,227,17.7,7.06,496.73,2979,19,84.3,39380.6
2032-03-15,12676,112,392,10.04,6.95,340.14,4702,18,64.1,33795.38
2032-03-16,17081,228,217,7.12,9.9,401.75,3426,20,63.6,40170.3
2032-03-17,16542,236,546,9.07,11.44,564.23,5398,11,80.9,45302.79
2032-03-18,18416,220,730,13.44,11.4,598.41,2437,8,43.9,51109.2
2032-03-19,10358,64,582,10.74,10.01,291.72,2065,21,69.5,38153.61
2032-03-20,10184,243,688,7.85,4.83,273.84,3180,21,95.9,26669.65
2032-03-21,9101,101,713,15.56,7.95,253.6,3832,11,90.4,37988.82
2032-03-22,18394,170,250,8.82,13.89,418.39,4571,10,98.9,49930.27
2032-03-23,13850,121,630,9.11,14.68,471.49,3300,19,95.3,48642.73
2032-03-24,9358,122,507,13.46,3.68,431.99,3548,18,47.1,28733.81
2032-03-25,11948,164,762,15.49,11.66,186.27,4847,15,64.5,47024.45
2032-03-26,11469,265,548,17.15,10.33,155.44,5112,22,99.1,45468.4
2032-03-27,17274,277,606,13.56,8.44,226.46,2887,19,41.7,43910.82
2032-03-28,10823,209,405,6.65,10.77,318.85,4162,15,84.4,36292.7
2032-03-29,12838,221,649,8.03,11.28,105.36,3101,11,63.9,40063.85
2032-03-30,10157,216,656,5.17,7.23,349.46,4646,20,96.5,28610.58
2032-03-31,8721,98,471,7.45,12.47,103.01,5924,16,72.3,37676.39
2032-04-01,12521,104,640,9.11,9.13,589.62,5501,19,62.4,37839.16
2032-04-02,12577,110,321,14.63,9.06,171.01,4172,18,74.9,41081.21
2032-04-03,14723,255,435,12.48,5.25,416.89,3484,12,79.1,35206.35
2032-04-04,17440,206,300,18.6,3.03,233.32,2236,9,40.6,38115.66
2032-04-05,8164,127,417,16.16,7.74,147.63,5696,21,97.4,36621.51
2032-04-06,15820,236,340,17.1,6.31,265.13,3976,15,66.0,41572.78
2032-04-07,16534,198,409,9.31,4.55,476.39,3823,18,49.0,32548.04
2032-04-08,12604,117,644,5.66,10.98,122.24,4765,23,94.8,36984.81
2032-04-09,8250,243,554,15.6,12.55,483.39,5409,16,70.0,46209.66
2032-04-10,9634,191,252,13.75,8.54,428.88,3527,22,63.7,37635.58
2032-04-11,13190,254,388,11.06,5.77,216.34,2668,20,70.1,33015.79
2032-04-12,8160,144,373,7.38,6.39,253.49,4575,15,87.5,26516.13
2032-04-13,18509,152,267,13.79,6.63,419.92,2319,21,99.9,41426.41
2032-04-14,10715,171,462,18.31,6.88,223.89,2724,8,76.1,39476.37
2032-04-15,16662,209,759,7.64,6.38,203.42,4649,10,41.1,34458.37
2032-04-16,9185,133,497,18.31,11.04,599.18,4425,16,45.3,46639.13
2032-04-17,10584,90,368,17.6,3.82,139.15,4377,10,78.3,32648.81
2032-04-18,18696,146,543,14.69,14.08,184.48,2078,13,45.0,55728.48
2032-04-19,8213,180,358,13.62,3.16,337.61,5410,9,65.7,26611.85
2032-04-20,9261,198,778,12.85,13.96,111.18,5833,20,58.4,46494.48
2032-04-21,14230,248,421,19.7,5.96,574.13,4268,20,97.1,42931.21
2032-04-22,10176,292,371,18.39,4.54,255.39,2954,15,74.3,35087.96
2032-04-23,8877,183,696,5.28,7.33,109.72,5107,16,47.3,27245.17
2032-04-24,18165,158,414,8.34,8.09,136.06,5257,17,49.0,38467.14
2032-04-25,12883,160,340,13.37,7.92,560.14,4556,18,69.0,39279.69
2032-04-26,17586,80,375,13.78,11.55,308.04,3839,19,89.4,49282.88
2032-04-27,18109,126,652,12.78,8.96,250.22,5489,15,45.4,44624.33
2032-04-28,10382,287,352,10.91,9.45,195.67,4805,8,47.5,37164.64
2032-04-29,18771,102,394,14.53,10.95,473.33,2166,20,79.6,50352.9
2032-04-30,9885,66,572,8.71,5.1,524.71,5577,19,84.8,27677.94
2032-05-01,17411,110,559,14.73,14.58,375.93,2333,12,59.1,56030.73
2032-05-02,17689,187,799,9.09,8.39,198.97,2020,13,83.1,40238.16
2032-05-03,13482,71,747,8.69,9.87,576.79,2125,19,81.3,39666.88
2032-05-04,9294,291,243,15.94,5.79,314.05,3053,17,50.8,34314.69
2032-05-05,11562,170,447,6.95,12.92,101.25,5453,15,55.7,40489.52
2032-05-06,14142,181,618,10.5,12.14,196.03,3922,22,45.7,44986.78
2032-05-07,11752,106,241,12.23,5.38,170.31,2331,15,91.8,31466.67
2032-05-08,10388,209,381,7.98,4.32,388.49,3467,18,76.1,25659.16
2032-05-09,18990,247,286,16.98,13.51,355.05,5156,18,77.3,57170.03
2032-05-10,14436,70,360,13.16,3.47,332.24,5840,18,83.6,31604.73
2032-05-11,14178,273,592,6.81,13.92,523.22,2322,23,89.1,45869.09
2032-05-12,10086,298,702,13.41,7.27,384.43,5953,23,66.4,36399.11
2032-05-13,17660,133,686,6.42,11.52,210.05,2297,11,96.8,43124.6
2032-05-14,16495,81,317,14.26,10.29,206.69,5198,12,91.8,46189.02
2032-05-15,12433,144,474,10.95,8.21,469.1,5228,19,86.2,37238.92
2032-05-16,15768,65,297,13.44,4.6,108.78,4321,12,87.5,34289.34
2032-05-17,9797,125,314,14.05,3.68,404.62,5888,9,79.3,29197.38
2032-05-18,17137,52,599,18.07,9.54,310.56,2058,9,82.2,49530.38
2032-05-19,18314,280,289,6.13,3.59,518.8,3563,9,88.9,29487.54
2032-05-20,18619,106,606,12.85,13.44,104.34,4596,16,57.7,52685.6
2032-05-21,10446,205,650,10.33,3.56,107.87,2706,14,45.7,26242.94
2032-05-22,14744,295,257,14.98,6.57,158.48,2152,16,80.5,38956.84
2032-05-23,11086,155,273,13.86,8.1,391.96,2786,21,78.4,37996.35
2032-05-24,8968,203,352,7.37,13.57,219.94,2645,23,75.8,40097.03
2032-05-25,16112,272,255,8.29,14.81,523.63,3490,21,96.9,49745.35
2032-05-26,13914,51,221,15.06,10.76,209.39,2013,14,45.2,45397.9
2032-05-27,9935,153,602,19.53,12.02,179.43,2825,15,49.6,49304.23
2032-05-28,10773,92,273,19.8,13.87,564.22,2733,21,90.5,53758.96
2032-05-29,10256,148,313,8.26,11.54,557.13,4272,22,54.0,38954.51
2032-05-30,18620,190,517,16.63,3.73,452.67,5821,21,79.6,39506.24
2032-05-31,13400,274,656,12.66,5.02,419.79,2620,22,83.9,34334.65
2032-06-01,13103,226,397,17.36,7.13,313.1,3958,17,86.0,41250.11
2032-06-02,12759,180,584,5.28,4.63,282.49,5583,18,76.1,25771.83
2032-06-03,13379,74,555,16.28,13.82,253.63,2428,15,91.9,52352.87
2032-06-04,10449,96,624,5.7,12.38,203.38,4134,10,69.6,37910.08
2032-06-05,11294,142,496,5.13,11.65,329.67,3415,12,76.3,36946.79
2032-06-06,10468,174,204,16.79,5.82,317.8,5989,21,86.0,35748.96
2032-06-07,18594,117,232,19.54,9.57,329.81,2348,14,79.5,51594.44
2032-06-08,8727,293,208,10.98,3.31,320.51,2085,12,91.4,24873.62
2032-06-09,10560,69,688,9.38,8.29,151.64,4899,8,42.9,33868.51
2032-06-10,9650,182,672,14.41,5.16,199.63,5501,22,54.4,32368.87
2032-06-11,17364,230,254,19.33,7.7,363.1,2548,23,75.8,47424.29
2032-06-12,13297,50,347,7.94,14.78,422.65,3152,21,76.0,46484.26
2032-06-13,16820,253,701,5.18,9.25,591.96,2465,19,50.9,38494.64
2032-06-14,15574,137,557,19.18,11.75,379.07,3280,21,72.3,53511.07
2032-06-15,15529,199,550,15.04,4.46,232.85,4944,23,94.2,36381.66
2032-06-16,10260,199,333,15.53,7.97,399.19,4366,20,67.9,38824.43
2032-06-17,16320,97,288,6.56,3.03,257.0,4198,8,53.2,26154.64
2032-06-18,11787,221,430,9.99,3.38,403.95,3610,19,45.8,27076.19
2032-06-19,11991,129,339,5.21,3.15,430.66,5903,20,87.1,22218.82
2032-06-20,17452,136,538,12.85,10.93,474.53,2099,11,59.3,48076.53
2032-06-21,14786,231,217,19.99,12.34,587.5,4555,9,64.4,54738.1
2032-06-22,9619,132,668,17.42,8.58,247.81,5607,12,91.3,41207.67
2032-06-23,8166,189,293,19.02,8.85,155.53,3818,11,92.3,41124.44
2032-06-24,14023,130,711,18.44,4.67,462.26,3313,21,46.7,39313.68
2032-06-25,9514,73,243,14.07,13.85,166.71,5639,21,60.7,46438.58
2032-06-26,16292,229,660,11.13,6.11,449.3,4515,13,89.4,37280.47
2032-06-27,8258,204,508,15.23,12.48,581.19,3283,8,71.9,45841.63
2032-06-28,16459,288,231,12.46,9.34,120.3,3259,20,97.3,42928.26
2032-06-29,17090,280,796,19.27,3.71,591.88,4967,11,85.8,41675.93
2032-06-30,18356,155,403,5.62,4.22,143.68,5368,11,52.9,29192.99
2032-07-01,12862,280,402,15.43,10.83,259.93,4808,23,60.5,45998.71
2032-07-02,11472,290,540,13.61,5.92,320.23,2854,23,42.8,34810.13
2032-07-03,19392,269,281,18.91,12.0,320.98,3935,14,88.4,56480.65
2032-07-04,11135,224,231,15.79,6.5,124.44,2205,14,69.0,36309.4
2032-07-05,12184,109,210,7.54,7.35,556.68,2142,22,95.2,32042.38
2032-07-06,10052,260,228,14.23,7.7,273.02,4993,11,56.5,36624.29
2032-07-07,12252,129,472,18.98,9.6,410.17,5720,23,73.7,46634.4
2032-07-08,16396,276,504,18.62,9.99,185.56,5153,13,80.9,50236.91
2032-07-09,13047,214,248,13.21,10.91,580.96,3345,14,85.9,44647.31
2032-07-10,11500,164,483,14.5,10.55,171.22,4263,8,82.1,43188.6
2032-07-11,18604,75,602,19.81,10.71,543.49,4189,16,54.8,55038.01
2032-07-12,10315,84,686,18.91,8.85,383.38,4752,18,70.8,43859.24
2032-07-13,9066,242,510,10.88,8.21,451.25,4398,17,62.9,34663.88
2032-07-14,18590,216,347,8.62,13.06,190.66,3973,17,66.3,48152.16
2032-07-15,16734,238,652,16.74,13.02,571.44,3851,22,70.0,55444.5
2032-07-16,17691,261,300,17.0,14.77,452.78,4596,11,42.2,58692.65
2032-07-17,10200,198,441,16.96,8.26,580.03,3648,15,84.7,41234.71
2032-07-18,17350,298,705,13.62,11.41,308.91,3341,16,72.8,49823.88
2032-07-19,17363,282,424,19.52,3.66,395.84,3284,18,99.1,40851.1
2032-07-20,14045,194,269,19.27,6.26,534.33,4956,23,44.3,42425.77
2032-07-21,16828,207,730,15.71,8.15,463.81,4571,17,49.8,45634.02
2032-07-22,15703,188,649,12.32,5.73,480.63,2762,21,60.4,37158.06
2032-07-23,11014,173,733,8.15,6.41,560.22,5552,12,75.2,31097.3
2032-07-24,15637,173,600,10.5,4.52,183.98,5025,18,67.4,32406.54
2032-07-25,10950,238,251,18.81,4.93,251.96,5565,21,51.9,36446.89
2032-07-26,11856,252,697,5.93,7.54,142.89,5918,10,77.3,30907.67
2032-07-27,8054,85,250,12.91,6.91,221.86,4906,8,66.8,31881.91
2032-07-28,13056,144,424,12.1,14.06,599.39,3071,8,96.1,49543.3
2032-07-29,15749,96,427,13.95,10.1,405.41,2444,17,58.8,45694.57
2032-07-30,9619,135,356,10.78,8.52,176.98,3181,16,91.5,34348.92
2032-07-31,17026,233,735,14.8,5.06,285.81,5275,15,66.5,39030.87
2032-08-01,14239,211,505,18.47,6.81,581.29,2613,8,90.2,43459.41
2032-08-02,16301,247,328,16.67,12.22,140.76,5235,20,97.7,51904.81
2032-08-03,16035,180,703,9.12,4.58,572.48,2797,10,61.0,32785.14
2032-08-04,13169,97,714,8.15,5.07,420.2,3503,22,70.5,29900.64
2032-08-05,11964,67,354,17.45,14.66,274.58,4616,9,76.1,53415.46
2032-08-06,12433,85,651,14.45,11.6,580.3,2736,11,99.8,46962.5
2032-08-07,16418,79,483,5.69,6.43,131.91,5958,21,77.5,31593.28
2032-08-08,15675,166,228,9.61,6.35,334.1,4492,23,74.1,34590.55
2032-08-09,19650,185,525,12.34,5.7,126.89,3498,17,78.5,39211.97
2032-08-10,10687,262,680,7.55,14.17,339.3,3368,8,84.5,43805.07
2032-08-11,11092,282,607,8.77,14.18,132.65,4719,9,66.1,44640.08
2032-08-12,17215,201,212,10.84,7.67,214.98,3144,10,64.0,39089.14
2032-08-13,8720,266,357,18.03,10.34,110.22,2023,13,85.7,43550.05
2032-08-14,19016,175,739,9.18,9.94,361.4,2420,23,58.9,44451.54
2032-08-15,14300,101,442,11.45,8.75,563.18,2424,23,51.8,40269.2
2032-08-16,11690,203,492,8.79,11.91,127.31,2476,16,61.1,40653.23
2032-08-17,18556,175,557,11.2,5.77,354.21,2711,10,42.7,38018.6
2032-08-18,11341,246,630,7.49,5.01,201.89,5064,11,56.3,27339.31
2032-08-19,9417,200,257,15.64,12.42,142.52,4099,11,89.3,45462.98
2032-08-20,18508,145,472,19.09,3.52,407.26,4136,20,46.4,40941.22
2032-08-21,8356,136,403,5.75,6.46,322.98,2836,22,98.6,25548.6
2032-08-22,16731,247,229,15.51,9.6,425.4,5791,8,66.1,47032.44
2032-08-23,15633,190,306,18.25,11.59,281.83,4124,16,59.0,51833.29
2032-08-24,9152,250,467,11.13,9.72,307.92,3890,8,68.9,37245.6
2032-08-25,8383,166,709,17.36,11.67,527.44,4636,21,46.9,46550.98
2032-08-26,13155,68,466,6.73,4.91,475.49,3014,15,52.2,27914.65
2032-08-27,15791,201,778,10.54,4.1,412.48,4686,14,88.2,32787.16
2032-08-28,19072,129,312,14.7,12.14,215.56,2188,12,77.3,52151.84
2032-08-29,10154,112,372,17.14,6.66,265.61,3693,22,57.0,37370.58
2032-08-30,11394,235,707,13.63,9.78,407.56,4803,14,41.0,42123.82
2032-08-31,17893,164,608,7.61,7.96,485.27,5365,12,97.1,38597.45
2032-09-01,18131,285,472,15.05,3.49,294.73,4780,21,57.0,36991.82
2032-09-02,16282,269,387,7.12,8.28,241.0,4927,12,46.4,36623.54
2032-09-03,8076,123,582,18.63,6.28,409.31,3990,21,62.8,37106.47
2032-09-04,14834,291,597,12.88,8.54,579.82,3808,21,49.5,42379.36
2032-09-05,16629,65,479,14.08,4.13,541.96,5413,8,42.4,36157.77
2032-09-06,13364,67,533,17.85,12.79,130.7,2637,10,92.5,51540.93
